review_id,book_id,rating,review_text
5127,1113,3,Useful and easy to follow.
5128,1117,3,Thought-provoking.
5129,1117,3,Interesting but uneven.
5130,1118,3,Useful and easy to follow.
5131,1119,2,Useful and easy to follow.
5132,1119,3,Clear and engaging.
5133,1120,3,Thought-provoking.
5134,1121,2,Thought-provoking.
5135,1122,5,Not quite what I expected.
5136,1123,4,A strong recommendation.
5137,1123,2,Useful and easy to follow.
5138,1124,3,Useful and easy to follow.
5139,1124,5,Useful and easy to follow.
5140,1126,2,Thought-provoking.
5141,1127,2,Thought-provoking.
5142,1130,5,A strong recommendation.
5143,1130,2,Thought-provoking.
5144,1133,2,Clear and engaging.
5145,1135,5,Thought-provoking.
5146,1135,4,Interesting but uneven.
5147,1136,2,Not quite what I expected.
5148,1137,2,Clear and engaging.
5149,1138,2,A strong recommendation.
5150,1139,3,Interesting but uneven.
5151,1139,2,Useful and easy to follow.
5152,1140,4,Clear and engaging.
5153,1141,2,Thought-provoking.
5154,1141,5,A strong recommendation.
5155,1142,4,Not quite what I expected.
5156,1143,5,Interesting but uneven.
5157,1144,3,A strong recommendation.
5158,1145,4,Thought-provoking.
5159,1146,4,Not quite what I expected.
5160,1147,5,Useful and easy to follow.
5161,1147,5,Interesting but uneven.
5162,1147,3,Useful and easy to follow.
5163,1148,2,Useful and easy to follow.
5164,1149,2,Clear and engaging.
5165,1149,4,Useful and easy to follow.
5166,1151,5,Not quite what I expected.
5167,1151,2,Clear and engaging.
5168,1151,2,Thought-provoking.
5169,1152,2,Not quite what I expected.
5170,1153,2,Not quite what I expected.
5171,1154,5,Useful and easy to follow.
5172,1155,2,Not quite what I expected.
5173,1157,5,Interesting but uneven.
5174,1157,4,Not quite what I expected.
5175,1158,5,Interesting but uneven.
5176,1159,5,Useful and easy to follow.
5177,1160,4,Not quite what I expected.
5178,1160,4,Not quite what I expected.
5179,1161,4,A strong recommendation.
5180,1161,5,Clear and engaging.
5181,1161,4,Thought-provoking.
5182,1163,2,Interesting but uneven.
5183,1164,3,Interesting but uneven.
5184,1165,3,Thought-provoking.
5185,1166,2,Clear and engaging.
5186,1166,5,A strong recommendation.
